asin,asin_description,amazon_url,division,taxonomy,product,start_date,onhand_units,start_date_pred,forecast_mean,forecast_p70,forecast_p80,forecast_p90,po_request_date,po_quantity,lead_time_days
ASIN_248378,MLB A S BRG GLD PS INF BTG PR,https://www.amazon.com/dp/B07XL2J826,Baseball,Gloves,Batting Glove,2026-08-31,20,2027-03-29,1,1,2,3,,,
ASIN_56F8C7,Y M BLK/RYL SHOKTAK REC GLVS,https://www.amazon.com/dp/B07X43SQMS,Baseball,Gloves,Sport Glove,2026-08-31,226,2026-12-07,18,21,27,41,,,
ASIN_28A212,SFIA Y L WHT/WHT HI-TK REC GLV,https://www.amazon.com/dp/B07DNXX1GH,Baseball,Gloves,Sport Glove,2026-08-31,52,2027-03-29,6,7,11,14,2026-09-04,8,12.90490250830751
ASIN_9C615D,MLB Y XXS WHT/NVY 2ND SKNZ BTG,https://www.amazon.com/dp/B07XNWW9C2,Baseball,Gloves,Batting Glove,2026-08-31,199,2027-07-05,11,15,20,20,2026-09-05,4,15.703628362877156
ASIN_C72239,MLB A L WHT/CHRM SHKSORB X BTG,https://www.amazon.com/dp/B07XNWG5RK,Baseball,Gloves,Batting Glove,2026-08-31,235,2027-02-01,52,57,83,90,2026-09-09,36,15.949865197622866
ASIN_5C6C50,MLB A XL PRL/WHT NEO II BTG PR,https://www.amazon.com/dp/B006DOJ1QG,Baseball,Gloves,Batting Glove,2026-08-31,1,2027-06-14,1,1,1,2,2026-09-09,3,13.786846381960176
ASIN_EDCDA7,MLB Y CFX PRT SLIDER YLW/RED,,Baseball,Protective Gear,Slider,2026-08-31,35,2027-04-12,1,1,2,4,,,
ASIN_05A856,MLB Y M NVY GLD PS INF BTG PR,,Baseball,Gloves,Batting Glove,2026-08-31,21,2027-03-08,2,2,3,5,2026-09-09,4,12.93091038804029
ASIN_A22A4C,MLB Y M OPK APL PS INF BTG PR,,Baseball,Gloves,Batting Glove,2026-08-31,18,2027-05-03,4,5,8,11,2026-09-10,6,16.158189810064812
ASIN_140F22,MLB HEAVTY DUTY BATTING TEE,https://www.amazon.com/dp/B01AXYC06E,Baseball,Training Aids,Batting Tee,2026-08-31,1782,2026-11-09,186,234,333,459,2026-09-05,11,12.495358525693906
ASIN_40CB34,MLB Y BASEBALL BELT ORANGE,,Baseball,Apparel,Belt,2026-08-31,125,2027-06-28,68,81,110,159,,,
ASIN_28B361,MLB A L RED GLD PS INF BTG PR,https://www.amazon.com/dp/B07XPVGM4G,Baseball,Gloves,Batting Glove,2026-08-31,29,2026-10-19,2,3,4,4,2026-09-12,4,14.144374805979526
ASIN_80AC14,A S/M VNLA/GLD ARM SLEEVE PR,,Baseball,Apparel,Sleeve,2026-08-31,42,2026-09-28,3,4,4,7,2026-09-04,6,16.26239901796799
ASIN_4A2403,SFIA A L WHT/CHRM SUPRTK REC,https://www.amazon.com/dp/B07X2ZD81X,Baseball,Gloves,Sport Glove,2026-08-31,257,2027-06-14,10,11,14,19,2026-09-09,22,14.007859084809212
ASIN_E0D5B6,MLB T XS BLK/WHT TBALL FLX BTG,https://www.amazon.com/dp/B07GJD8G56,Baseball,Gloves,Batting Glove,2026-08-31,255,2026-09-28,26,21,32,40,2026-09-09,46,13.47171614743512
ASIN_26E105,SFIA A XL WHT/CHRM SUPRTK REC,https://www.amazon.com/dp/B07X64CNGL,Baseball,Gloves,Sport Glove,2026-08-31,41,2026-11-30,2,3,4,5,,,
ASIN_907969,MLB A XL PNK CBL PS INF BTG PR,,Baseball,Gloves,Batting Glove,,,2027-06-07,1,1,1,2,2026-09-10,13,17.12231851235656
ASIN_3D0387,MLB A S PRL/WHT PRO CLSC BTG,https://www.amazon.com/dp/B013LPTS6M,Baseball,Gloves,Batting Glove,2026-08-31,19,2026-12-21,1,1,1,2,2026-09-09,4,14.205447593405594
ASIN_CE90E0,MLB Y BASEBALL BELT FOREST GRN,,Baseball,Apparel,Belt,2026-08-31,376,2027-01-18,17,19,28,34,2026-09-09,27,15.252476126964213
ASIN_BFCBAA,"13.0"" CML/BRN CTZ5000 BBG REG",,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,26,2027-06-21,2,3,3,5,,,
ASIN_E0D5B6,MLB T XS BLK/WHT TBALL FLX BTG,https://www.amazon.com/dp/B07GJD8G56,Baseball,Gloves,Batting Glove,2026-08-31,324,2026-10-26,12,18,21,25,2026-09-09,43,15.035983604136721
ASIN_DB0842,USA BB VENOM 1000 25/15 GRN,https://www.amazon.com/dp/B075SLSLV7,Baseball,Bats,Bat,2026-08-31,999,2027-01-04,12,14,17,28,,,
ASIN_0233DA,MLB A M PRL/WHT NAT II BTG PR,https://www.amazon.com/dp/B00G2GFIUI,Baseball,Gloves,Batting Glove,,,2026-09-14,4,4,4,6,,,
ASIN_F7E55D,MLB Y CFX PRT SLIDER RED HILTE,,Baseball,Protective Gear,Slider,2026-08-31,24,2027-05-31,5,9,9,12,2026-09-09,7,15.935616089436937
